run_id,run_type,experiment,method,query_ident,split,inference_time,planning_time,execution_time,total_time,timed_out
0,regular,base_query_split_1,Balsa,29a,train,626.7,2632.235,891.771,4150.706,False
1,regular,base_query_split_1,Balsa,29a,train,695.8,2079.725,783.762,3559.2869999999994,False
2,regular,base_query_split_1,Balsa,29a,train,740.1,2053.254,804.222,3597.576,False
0,regular,base_query_split_1,Balsa,29b,train,610.6,2549.721,890.614,4050.935,False
1,regular,base_query_split_1,Balsa,29b,train,718.0999999999999,1914.085,780.868,3413.053,False
2,regular,base_query_split_1,Balsa,29b,train,905.0,2074.281,796.929,3776.21,False
0,regular,base_query_split_1,Balsa,29c,train,509.4,2393.23,1311.727,4214.357,False
1,regular,base_query_split_1,Balsa,29c,train,636.8000000000001,1960.529,1183.073,3780.402,False
2,regular,base_query_split_1,Balsa,29c,train,630.3,2047.374,1203.969,3881.643,False
0,regular,base_query_split_1,Balsa,30a,train,504.4,0.0,360000.0,360504.4,True
1,regular,base_query_split_1,Balsa,30a,train,303.4,29.639,950.843,1283.882,False
2,regular,base_query_split_1,Balsa,30a,train,320.7,32.424,965.762,1318.886,False
0,regular,base_query_split_1,Balsa,30b,train,368.4,42.602,833.309,1244.311,False
1,regular,base_query_split_1,Balsa,30b,train,499.40000000000003,36.746,740.625,1276.7710000000002,False
2,regular,base_query_split_1,Balsa,30b,train,544.4,37.726,803.34,1385.466,False
0,regular,base_query_split_1,Balsa,30c,train,235.9,0.0,360000.0,360235.9,True
1,regular,base_query_split_1,Balsa,30c,train,213.0,29.126,3309.665,3551.791,False
2,regular,base_query_split_1,Balsa,30c,train,224.70000000000002,31.375,3307.603,3563.678,False
0,regular,base_query_split_1,Balsa,31a,test,340.4,17.29,9131.167,9488.857,False
1,regular,base_query_split_1,Balsa,31a,test,291.2,14.646,8265.903,8571.749,False
2,regular,base_query_split_1,Balsa,31a,test,305.0,14.863,8446.274,8766.136999999999,False
0,regular,base_query_split_1,Balsa,31b,test,1001.7,25.503,1264.093,2291.2960000000003,False
1,regular,base_query_split_1,Balsa,31b,test,677.1,24.193,1029.564,1730.857,False
2,regular,base_query_split_1,Balsa,31b,test,668.9000000000001,21.495,1082.542,1772.937,False
0,regular,base_query_split_1,Balsa,31c,test,443.0,19.419,21322.444,21784.863,False
1,regular,base_query_split_1,Balsa,31c,test,404.1,17.179,19983.2,20404.479,False
2,regular,base_query_split_1,Balsa,31c,test,393.0,16.039,19816.741,20225.780000000002,False
0,regular,base_query_split_1,Balsa,32a,train,121.6,0.914,370.518,493.032,False
1,regular,base_query_split_1,Balsa,32a,train,110.10000000000001,1.009,310.767,421.876,False
2,regular,base_query_split_1,Balsa,32a,train,113.9,0.76,332.325,446.985,False
0,regular,base_query_split_1,Balsa,32b,train,125.4,0.923,483.53,609.853,False
1,regular,base_query_split_1,Balsa,32b,train,110.9,0.79,384.396,496.086,False
2,regular,base_query_split_1,Balsa,32b,train,112.60000000000001,0.807,386.184,499.591,False
0,regular,base_query_split_1,Balsa,33a,train,839.1999999999999,172.105,2534.604,3545.9089999999997,False
1,regular,base_query_split_1,Balsa,33a,train,750.4,132.892,2103.786,2987.078,False
2,regular,base_query_split_1,Balsa,33a,train,787.9000000000001,135.855,2302.53,3226.2850000000003,False
0,regular,base_query_split_1,Balsa,33b,train,409.7,151.01,1152.576,1713.286,False
1,regular,base_query_split_1,Balsa,33b,train,364.0,120.683,1037.713,1522.396,False
2,regular,base_query_split_1,Balsa,33b,train,419.0,123.723,1026.285,1569.008,False
0,regular,base_query_split_1,Balsa,33c,train,828.6,109.141,1200.263,2138.004,False
1,regular,base_query_split_1,Balsa,33c,train,556.0,93.628,1113.151,1762.779,False
2,regular,base_query_split_1,Balsa,33c,train,626.6,92.103,1073.191,1791.894,False
0,regular,base_query_split_1,Bao,01a,train,0.0,148.049,99.931,247.98000000000002,False
1,regular,base_query_split_1,Bao,01a,train,0.0,231.554,90.664,322.218,False
2,regular,base_query_split_1,Bao,01a,train,0.0,218.573,89.665,308.238,False
0,regular,base_query_split_1,Bao,01b,train,0.0,149.854,99.193,249.04700000000003,False
1,regular,base_query_split_1,Bao,01b,train,0.0,224.764,88.143,312.90700000000004,False
2,regular,base_query_split_1,Bao,01b,train,0.0,218.396,86.041,304.437,False
0,regular,base_query_split_1,Bao,01c,train,0.0,153.139,114.456,267.595,False
1,regular,base_query_split_1,Bao,01c,train,0.0,228.025,95.148,323.173,False
2,regular,base_query_split_1,Bao,01c,train,0.0,228.783,98.78,327.563,False
0,regular,base_query_split_1,Bao,01d,train,0.0,151.743,97.208,248.951,False
1,regular,base_query_split_1,Bao,01d,train,0.0,224.961,88.463,313.424,False
2,regular,base_query_split_1,Bao,01d,train,0.0,212.584,90.901,303.485,False
0,regular,base_query_split_1,Bao,02a,test,0.0,158.047,488.014,646.061,False
1,regular,base_query_split_1,Bao,02a,test,0.0,218.48,437.164,655.644,False
2,regular,base_query_split_1,Bao,02a,test,0.0,210.206,420.344,630.55,False
0,regular,base_query_split_1,Bao,02b,test,0.0,147.865,459.909,607.774,False
1,regular,base_query_split_1,Bao,02b,test,0.0,225.399,426.022,651.421,False
2,regular,base_query_split_1,Bao,02b,test,0.0,212.678,409.948,622.626,False
0,regular,base_query_split_1,Bao,02c,test,0.0,151.201,467.014,618.215,False
1,regular,base_query_split_1,Bao,02c,test,0.0,229.59,425.501,655.091,False
2,regular,base_query_split_1,Bao,02c,test,0.0,209.311,395.933,605.244,False
